procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  51036 54459160 476972 6442488    0    0     0     1    0    0  1  0 99  0  0	
 1  0  51036 54415136 476972 6442484    0    0     0     0 4562 13192  7  1 92  0  0	
78  0  51036 54401800 476972 6442516    0    0     0     0 26264 7069 97  0  3  0  0	
78  0  51036 54401552 476972 6442516    0    0     0    96 24268 4107 100  0  0  0  0	
78  0  51036 54403068 476972 6442516    0    0     0     0 24261 4061 100  0  0  0  0	
78  0  51036 54397220 476972 6442516    0    0     0    48 26189 8071 97  0  2  0  0	
78  0  51036 54397220 476972 6442516    0    0     0     0 24453 4069 100  0  0  0  0	
78  0  51036 54398028 476972 6442516    0    0     0     0 24534 4301 100  0  0  0  0	
78  0  51036 54397064 476972 6442516    0    0     0    36 24731 5305 99  0  1  0  0	
78  0  51036 54397112 476972 6442516    0    0     0     0 24243 3941 100  0  0  0  0	
78  0  51036 54397596 476972 6442516    0    0     0    24 24293 4092 100  0  0  0  0	
78  0  51036 54397224 476972 6442516    0    0     0     8 24202 5103 99  0  1  0  0	
78  0  51036 54397224 476972 6442516    0    0     0    12 24335 4251 100  0  0  0  0	
78  0  51036 54397428 476972 6442516    0    0     0    36 24301 4115 100  0  0  0  0	
78  0  51036 54397676 476972 6442516    0    0     0     0 24287 5072 99  0  1  0  0	
78  0  51036 54397676 476972 6442516    0    0     0     0 24259 4032 100  0  0  0  0	
78  0  51036 54396684 476972 6442516    0    0     0    28 24996 4108 100  0  0  0  0	
78  0  51036 54395692 476972 6442516    0    0     0     0 24496 5238 99  0  1  0  0	
78  0  51036 54395692 476972 6442516    0    0     0    68 24276 4116 100  0  0  0  0	
78  0  51036 54395776 476972 6442516    0    0     0     0 24263 4079 100  0  0  0  0	
78  0  51036 54376256 476972 6442516    0    0     0     0 27569 4633 98  0  1  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
78  0  51036 54380992 476972 6442516    0    0     0    16 24706 4081 100  0  0  0  0	
78  0  51036 54381116 476972 6442516    0    0     0     0 24262 4117 100  0  0  0  0	
78  0  51036 54380916 476972 6442516    0    0     0    64 24190 4505 99  0  1  0  0	
78  0  51036 54381040 476972 6442516    0    0     0     0 24244 4074 100  0  0  0  0	
78  0  51036 54381180 476972 6442516    0    0     0     0 24273 4108 100  0  0  0  0	
78  0  51036 54381188 476972 6442516    0    0     0     0 24140 4380 99  0  1  0  0	
78  0  51036 54381552 476972 6442516    0    0     0    32 24519 4295 100  0  0  0  0	
78  0  51036 54381676 476972 6442516    0    0     0   116 24319 4151 100  0  0  0  0	
78  0  51036 54381124 476972 6442516    0    0     0     0 24205 4444 99  0  1  0  0	
78  0  51036 54381244 476972 6442516    0    0     0     0 24255 4088 100  0  0  0  0	
78  0  51036 54381220 476972 6442516    0    0     0   756 24469 4417 100  0  0  0  0	
78  0  51036 54381220 476972 6442516    0    0     0    20 24320 4763 99  0  1  0  0	
78  0  51036 54381096 476972 6442516    0    0     0   184 24523 4110 100  0  0  0  0	
78  0  51036 54381096 476972 6442520    0    0     0     0 24299 4100 100  0  0  0  0	
78  0  51036 54378180 476972 6442520    0    0     0     0 25170 4700 99  0  1  0  0	
79  0  51036 54377808 476972 6442520    0    0     0     0 24509 4073 100  0  0  0  0	
78  0  51036 54378056 476972 6442520    0    0     0    44 24512 4318 100  0  0  0  0	
78  0  51036 54378056 476972 6442520    0    0     0    92 24515 4632 100  0  0  0  0	
78  0  51036 54378056 476972 6442520    0    0     0     0 24238 4068 100  0  0  0  0	
78  0  51036 54378060 476972 6442520    0    0     0     0 24279 4101 100  0  0  0  0	
78  0  51036 54378068 476972 6442520    0    0     0     0 24310 4544 100  0  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
78  0  51036 54378292 476972 6442520    0    0     0    24 24333 4352 100  0  0  0  0	
78  0  51036 54378292 476972 6442524    0    0     0    32 24276 4099 100  0  0  0  0	
78  0  51036 54377920 476972 6442524    0    0     0    16 24205 4437 99  0  1  0  0	
78  0  51036 54378044 476972 6442524    0    0     0     0 24292 4363 100  0  0  0  0	
85  0  51036 54378048 476972 6442524    0    0     0    16 24460 4226 100  0  0  0  0	
78  0  51036 54378024 476972 6442524    0    0     0    16 24318 4516 99  0  1  0  0	
78  0  51036 54377900 476972 6442524    0    0     0    64 24345 4434 100  0  0  0  0	
78  0  51036 54377900 476972 6442524    0    0     0     0 24280 4065 100  0  0  0  0	
78  0  51036 54378036 476972 6442524    0    0     0    12 24224 4392 100  0  0  0  0	
78  0  51036 54378036 476972 6442524    0    0     0     0 24248 4066 100  0  0  0  0	
78  0  51036 54378036 476972 6442524    0    0     0    28 24305 4127 100  0  0  0  0	
78  0  51036 54378176 476972 6442524    0    0     0    64 24247 4536 99  0  1  0  0	
78  0  51036 54378176 476972 6442524    0    0     0     0 24319 4396 100  0  0  0  0	
78  0  51036 54378176 476972 6442524    0    0     0     0 24258 4058 100  0  0  0  0	
84  0  51036 54378300 476972 6442524    0    0     0     0 24419 4684 99  0  1  0  0	
78  0  51036 54378168 476972 6442524    0    0     0    52 24311 4063 100  0  0  0  0	
78  0  51036 54378168 476972 6442524    0    0     0    32 24273 4109 100  0  0  0  0	
78  0  51036 54378292 476972 6442524    0    0     0    36 24220 4478 99  0  1  0  0	
78  0  51036 54378316 476972 6442524    0    0     0     0 24251 4071 100  0  0  0  0	
78  0  51036 54378448 476972 6442524    0    0     0     0 24262 4084 100  0  0  0  0	
 4  0  51036 54400436 476972 6442524    0    0     0    64 19773 8181 73  0 26  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
78  0  51036 54387256 476972 6442524    0    0     0    56 23446 9378 83  0 17  0  0	
78  0  51036 54386760 476972 6442524    0    0     0    36 24257 4078 100  0  0  0  0	
78  0  51036 54386760 476972 6442524    0    0     0     0 24286 4125 100  0  0  0  0	
78  0  51036 54384608 476972 6442524    0    0     0     0 26528 7908 96  0  4  0  0	
78  0  51036 54384520 476972 6442524    0    0     0     0 24364 4074 100  0  0  0  0	
78  0  51036 54384520 476972 6442524    0    0     0    68 24289 4120 100  0  0  0  0	
78  0  51036 54383740 476972 6442524    0    0     0     0 25103 5251 99  0  1  0  0	
78  0  51036 54383864 476972 6442524    0    0     0    28 24254 4043 100  0  0  0  0	
78  0  51036 54383880 476972 6442524    0    0     0     0 24272 4087 100  0  0  0  0	
78  0  51036 54383684 476972 6442524    0    0     0     0 24167 4979 99  0  1  0  0	
78  0  51036 54383828 476972 6442524    0    0     0    32 24302 4083 100  0  0  0  0	
78  0  51036 54383952 476972 6442524    0    0     0     0 24240 4077 100  0  0  0  0	
78  0  51036 54384076 476972 6442524    0    0     0    28 24288 4994 99  0  1  0  0	
78  0  51036 54384076 476972 6442524    0    0     0     0 24511 4303 100  0  0  0  0	
78  0  51036 54384440 476972 6442528    0    0     0    16 24333 4147 100  0  0  0  0	
78  0  51036 54383696 476972 6442528    0    0     0    44 24398 4906 98  0  2  0  0	
78  0  51036 54383820 476972 6442528    0    0     0     0 24254 4084 100  0  0  0  0	
78  0  51036 54383828 476972 6442528    0    0     0     0 24245 4079 100  0  0  0  0	
78  0  51036 54375064 476972 6442528    0    0     0    36 27915 4771 98  0  2  0  0	
78  0  51036 54376380 476972 6442528    0    0     0    32 24690 4119 100  0  0  0  0	
78  0  51036 54376380 476972 6442528    0    0     0    36 24280 4128 100  0  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
78  0  51036 54372164 476972 6442528    0    0     0     0 24212 4544 99  0  0  0  0	
78  0  51036 54371792 476972 6442528    0    0     0     0 24260 4112 100  0  0  0  0	
79  0  51036 54372908 476972 6442532    0    0     0    40 24539 4369 100  0  0  0  0	
