procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  50976 51420664 494012 11043860    0    0     0     1    0    0  1  0 99  0  0	
 1  0  50976 51374512 494012 11043904    0    0     0    28 4602 13315  7  1 92  0  0	
 9  0  50976 51370016 494012 11043876    0    0     0     0 10316 1869 37  0 63  0  0	
 9  0  50976 51369320 494012 11043876    0    0     0     0 9584  470 38  0 62  0  0	
10  0  50976 51369448 494012 11043876    0    0     0    52 10071  484 38  0 62  0  0	
 9  0  50976 51367624 494012 11043876    0    0     0    56 9519 2380 34  0 66  0  0	
 9  0  50976 51368372 494020 11043872    0    0     0    40 9715  716 38  0 62  0  0	
 9  0  50976 51368068 494020 11043876    0    0     0     0 9414  485 38  0 62  0  0	
 9  0  50976 51367072 494020 11043876    0    0     0     0 9016  924 34  0 66  0  0	
 9  0  50976 51367080 494020 11043876    0    0     0    36 9768  475 38  0 62  0  0	
 9  0  50976 51367452 494020 11043876    0    0     0    80 9794  492 38  0 63  0  0	
 9  0  50976 51367528 494020 11043876    0    0     0    40 8919  776 34  0 66  0  0	
 9  0  50976 51367652 494020 11043876    0    0     0     0 9851  472 38  0 62  0  0	
 9  0  50976 51367528 494020 11043876    0    0     0     4 10045  477 38  0 62  0  0	
 9  0  50976 51367856 494020 11043876    0    0     0     0 8950  747 34  0 66  0  0	
10  0  50976 51368044 494020 11043876    0    0     0    36 9806  725 37  0 62  0  0	
 9  0  50976 51368044 494020 11043876    0    0     0    28 9819  634 38  0 62  0  0	
 0  0  50976 51368168 494020 11043876    0    0     0     0 9089  517 35  0 65  0  0	
 9  0  50976 51367548 494020 11043880    0    0     0   672 9238  993 36  0 64  0  0	
 9  0  50976 51367548 494020 11043880    0    0     0     0 9277  484 38  0 62  0  0	
 9  0  50976 51367664 494020 11043880    0    0     0    24 9630  499 38  0 62  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0  50976 51367788 494020 11043880    0    0     0    40 8836  637 34  0 66  0  0	
 9  0  50976 51367920 494020 11043880    0    0     0     0 9678  469 38  0 62  0  0	
 9  0  50976 51367920 494020 11043880    0    0     0    16 10066  483 38  0 62  0  0	
 9  0  50976 51367928 494020 11043880    0    0     0     0 9132  655 34  0 66  0  0	
 9  0  50976 51367916 494020 11043880    0    0     0    20 9689  495 38  0 62  0  0	
 9  0  50976 51368240 494020 11043880    0    0     0    40 10002  669 38  0 62  0  0	
 9  0  50976 51368236 494020 11043880    0    0     0     0 8863  613 34  0 66  0  0	
