1 2 2 68953,188 10371,257 32724,623 7480,207 54220,740 13647,366 8633,055 1899,441 1634,763 139,988 1811,315 172,474 1571,844 115,313 3968,087 113,694 61225,653 10970,709 20572,246 2513,430 11980,160 1734,711 27388,667 3680,583 24028,677 3033,581 683,860 68,234 
1 3 3 64238,777 9484,139 35259,070 4723,584 59134,761 5840,752 13053,703 1272,333 1857,724 120,158 1967,569 164,730 1478,026 71,373 3854,870 102,309 58114,370 6078,915 22299,881 1541,337 6184,829 713,405 39615,245 3893,007 25112,463 1856,525 390,553 20,629 
1 4 4 58202,928 11848,688 41167,618 5618,877 54440,111 8947,319 11841,644 1561,029 1902,869 148,005 1900,998 168,694 1284,246 39,803 3912,496 103,378 58200,461 4585,764 22123,724 1260,503 5780,941 371,072 45193,421 4424,507 29006,182 1710,871 373,409 10,482 
1 5 5 62148,522 8604,296 39512,264 3307,719 50616,514 10628,036 10934,752 1658,879 1995,100 146,005 2040,596 145,236 1201,322 41,853 3741,043 98,750 60668,611 5557,961 19944,837 1293,052 5128,727 266,883 57378,853 4682,784 26140,728 1636,266 340,004 9,701 
1 6 6 65741,378 3142,351 135244,795 96073,028 55047,385 13122,210 10084,188 1579,496 1998,046 97,376 1943,134 102,487 1165,292 54,276 3651,529 170,562 64399,245 4490,115 20037,193 1155,700 4914,090 316,433 62914,934 7940,953 23696,030 1379,963 304,597 7,103 
1 7 7 61376,042 5902,573 37765,193 2317,799 54314,888 10146,548 11312,189 1436,444 2030,031 113,198 2046,295 128,443 1144,540 67,225 3802,262 80,532 62049,920 5676,227 19771,156 1159,621 5103,487 242,779 55309,614 5113,245 23281,621 1228,598 262,808 7,830 
1 8 8 56469,705 7892,975 36356,676 1628,731 54774,976 8814,062 12030,126 1356,317 2021,007 90,717 1940,980 92,048 1094,377 69,262 3554,759 195,435 62759,922 4615,901 21251,093 1039,765 5630,131 359,424 56273,348 9550,172 22666,151 1062,686 224,085 5,233 
1 9 9 52752,280 4498,929 32275,661 1755,954 52470,074 9072,799 11666,715 1377,101 2079,928 113,154 2139,281 138,574 1038,343 54,115 3779,105 114,080 59040,168 4287,897 21685,362 875,552 5386,741 319,296 61082,922 9102,438 22076,982 1291,866 177,242 4,816 
1 10 10 48025,575 4722,840 98479,562 68976,650 44022,622 12316,636 10586,065 1457,085 2158,304 108,880 2060,626 159,795 1086,173 67,026 3757,188 129,693 50286,898 4575,954 21879,051 1079,578 5101,371 569,549 57262,180 11623,937 22449,437 1563,612 144,915 3,244 
1 11 11 47028,231 4164,131 29546,109 969,503 51795,560 9290,537 12108,116 1338,950 2232,170 123,970 2280,016 135,303 1038,752 65,619 3797,352 105,128 56357,917 4215,324 22533,036 1370,286 6070,204 338,322 74495,732 9670,183 22516,344 1665,134 123,178 3,171 
1 12 12 44387,009 4194,827 83108,814 55759,640 44878,680 12235,763 10940,074 1390,570 2406,585 131,470 2402,914 103,996 1097,941 71,527 3891,382 149,555 53683,824 7943,342 20667,445 1754,890 6257,130 355,009 84883,543 8158,799 30242,665 3169,620 110,963 2,917 
