procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  50844 52098012 501964 10285740    0    0     0     1    0    0  2  0 97  0  0	
 3  0  50844 52049468 501964 10285764    0    0     0     0 4528 13269  7  1 92  0  0	
19  0  50844 52043328 501964 10285768    0    0     0    68 20230 2259 77  0 23  0  0	
19  0  50844 52043120 501964 10285768    0    0     0    32 19259  529 79  0 21  0  0	
19  0  50844 52043568 501964 10285768    0    0     0     0 19483  484 79  0 21  0  0	
19  0  50844 52041296 501964 10285768    0    0     0     0 18327 2680 70  0 30  0  0	
19  0  50844 52041492 501964 10285768    0    0     0    64 19323  528 79  0 21  0  0	
19  0  50844 52041528 501964 10285768    0    0     0     0 19561  821 79  0 21  0  0	
19  0  50844 52041696 501964 10285768    0    0     0    56 16767 1235 68  0 32  0  0	
19  0  50844 52042060 501964 10285768    0    0     0     0 18764  552 77  0 23  0  0	
19  0  50844 52042184 501964 10285768    0    0     0    48 19257  477 79  0 21  0  0	
19  0  50844 52042272 501964 10285768    0    0     0    24 17590  959 71  0 29  0  0	
19  0  50844 52041776 501964 10285768    0    0     0     8 19432  500 79  0 21  0  0	
19  0  50844 52041900 501964 10285768    0    0     0    72 19466  700 79  0 21  0  0	
19  0  50844 52042080 501964 10285768    0    0     0     0 17300  793 71  0 29  0  0	
19  0  50844 52042096 501964 10285768    0    0     0     0 19429  605 79  0 21  0  0	
19  0  50844 52042220 501964 10285768    0    0     0     0 19244  468 79  0 21  0  0	
 0  0  50844 52042212 501964 10285772    0    0     0     0 18182  720 73  0 27  0  0	
19  0  50844 52040352 501964 10285772    0    0     0    68 19720  765 77  0 23  0  0	
19  0  50844 52040448 501964 10285772    0    0     0     0 19424  662 79  0 21  0  0	
19  0  50844 52040448 501964 10285776    0    0     0    16 19247  476 79  0 21  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0  50844 52041812 501964 10285776    0    0     0     0 18758  796 71  0 29  0  0	
19  0  50844 52041820 501964 10285776    0    0     0     0 19286  479 79  0 21  0  0	
19  0  50844 52041828 501964 10285776    0    0     0    60 19577  554 79  0 21  0  0	
19  0  50844 52038728 501964 10285776    0    0     0     0 18750  952 71  0 29  0  0	
19  0  50844 52038604 501964 10285776    0    0     0    28 19403  654 79  0 21  0  0	
19  0  50844 52039720 501964 10285776    0    0     0     0 19729  472 79  0 21  0  0	
19  0  50844 52039540 501964 10285776    0    0     0    60 17778 1160 71  0 29  0  0	
19  0  50844 52039160 501964 10285776    0    0     0    32 19276  616 79  0 21  0  0	
19  0  50844 52039284 501964 10285776    0    0     0    36 19550  535 79  0 21  0  0	
19  0  50844 52039284 501964 10285776    0    0     0     0 17419  726 71  0 29  0  0	
19  0  50844 52039176 501964 10285776    0    0     0    12 19420  710 79  0 21  0  0	
19  0  50844 52039300 501964 10285776    0    0     0    12 19251  505 79  0 21  0  0	
 0  0  50844 52039300 501964 10285776    0    0     0    32 18105  592 73  0 27  0  0	
19  0  50844 52033596 501964 10285776    0    0     0    40 20192  860 75  0 25  0  0	
19  0  50844 52033596 501964 10285776    0    0     0    72 19562  492 79  0 21  0  0	
19  0  50844 52033720 501964 10285776    0    0     0     0 19338  475 79  0 21  0  0	
19  0  50844 52033588 501964 10285776    0    0     0     0 17618 1131 71  0 29  0  0	
19  0  50844 52033592 501964 10285776    0    0     0    32 19257  501 79  0 21  0  0	
19  0  50844 52033716 501964 10285776    0    0     0    32 19381  520 79  0 21  0  0	
19  0  50844 52033720 501964 10285776    0    0     0     0 17438  823 71  0 29  0  0	
19  0  50844 52033728 501964 10285776    0    0     0   920 19781  850 79  0 21  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0  50844 52033728 501964 10285776    0    0     0     4 19268  522 79  0 21  0  0	
19  0  50844 52033728 501964 10285780    0    0     0    32 17189 1037 70  0 30  0  0	
19  0  50844 52033728 501964 10285780    0    0     0    32 19259  487 79  0 21  0  0	
19  0  50844 52033728 501964 10285784    0    0     0     0 19461  491 79  0 21  0  0	
19  0  50844 52033728 501964 10285784    0    0     0    36 17680  849 71  0 29  0  0	
19  0  50844 52033604 501964 10285784    0    0     0     4 19466  798 79  0 21  0  0	
19  0  50844 52033612 501964 10285784    0    0     0    32 19254  502 79  0 21  0  0	
 0  0  50844 52033860 501964 10285784    0    0     0     0 17967  769 73  0 27  0  0	
19  0  50844 52033860 501964 10285784    0    0     0    56 17754  718 73  0 27  0  0	
19  0  50844 52033868 501964 10285784    0    0     0     4 18705  545 77  0 23  0  0	
19  0  50844 52034052 501964 10285784    0    0     0    16 19233  483 79  0 21  0  0	
19  0  50844 52033928 501964 10285784    0    0     0    44 17449  733 71  0 29  0  0	
19  0  50844 52033928 501964 10285784    0    0     0     0 19281  520 79  0 21  0  0	
19  0  50844 52033928 501964 10285784    0    0     0    64 19387  699 79  0 21  0  0	
19  0  50844 52033932 501964 10285784    0    0     0     0 17226  774 70  0 30  0  0	
19  0  50844 52033676 501964 10285784    0    0     0     0 19501  690 79  0 21  0  0	
19  0  50844 52033780 501964 10285784    0    0     0    48 19321  528 79  0 21  0  0	
19  0  50844 52033784 501964 10285784    0    0     0     4 17445  719 71  0 29  0  0	
19  0  50844 52033788 501964 10285784    0    0     0    28 19280  496 79  0 21  0  0	
19  0  50844 52033788 501964 10285784    0    0     0     0 19408  644 79  0 21  0  0	
19  0  50844 52033416 501964 10285784    0    0     0    24 17447  728 71  0 29  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0  50844 52033548 501964 10285788    0    0     0    32 19371  545 79  0 21  0  0	
19  0  50844 52033548 501964 10285788    0    0     0     0 19325  475 79  0 21  0  0	
 0  0  50844 52033548 501964 10285788    0    0     0    88 18009  577 73  0 27  0  0	
19  0  50844 52039744 501964 10285788    0    0     0    44 12918 9546 39  1 60  0  0	
19  0  50844 52038868 501964 10285788    0    0     0     0 19492  745 79  0 21  0  0	
19  0  50844 52038744 501964 10285788    0    0     0    32 19356  512 79  0 21  0  0	
20  0  50844 52028872 501964 10285788    0    0     0     0 17772 1895 71  0 28  0  0	
19  0  50844 52027548 501964 10285788    0    0     0     0 19379  586 79  0 21  0  0	
19  0  50844 52035348 501964 10285788    0    0     0    40 19565  515 79  0 21  0  0	
19  0  50844 52034976 501964 10285788    0    0     0     0 17402 1235 71  0 29  0  0	
19  0  50844 52034980 501964 10285788    0    0     0    32 19420  627 79  0 21  0  0	
19  0  50844 52034992 501964 10285788    0    0     0     0 19249  477 79  0 21  0  0	
19  0  50844 52035256 501964 10285788    0    0     0     0 19353  495 79  0 21  0  0	
19  0  50844 52035132 501964 10285788    0    0     0    40 17320  872 71  0 29  0  0	
19  0  50844 52035124 501964 10285788    0    0     0     8 19520  623 79  0 21  0  0	
19  0  50844 52035248 501964 10285788    0    0     0    32 19431  746 79  0 21  0  0	
19  0  50844 52035496 501964 10285788    0    0     0     0 17273  813 70  0 30  0  0	
19  0  50844 52035496 501964 10285788    0    0     0    16 19267  590 79  0 21  0  0	
19  0  50844 52035624 501964 10285788    0    0     0    68 19399  519 79  0 21  0  0	
19  0  50844 52033516 501964 10285788    0    0     0     0 18841  764 71  0 29  0  0	
19  0  50844 52033524 501964 10285788    0    0     0    32 19424  518 79  0 21  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0  50844 52033276 501964 10285788    0    0     0     0 19545  657 79  0 21  0  0	
19  0  50844 52033400 501964 10285792    0    0     0    28 17337  769 71  0 29  0  0	
19  0  50844 52033400 501964 10285792    0    0     0    36 19252  493 79  0 21  0  0	
19  0  50844 52033520 501964 10285792    0    0     0    12 19534  665 79  0 21  0  0	
19  0  50844 52033392 501964 10285796    0    0     0    32 17363 1297 71  0 29  0  0	
19  0  50844 52033268 501964 10285796    0    0     0     0 19327  525 79  0 21  0  0	
19  0  50844 52033268 501964 10285796    0    0     0    32 19310  706 79  0 21  0  0	
19  0  50844 52035756 501964 10285796    0    0     0    12 19573  506 79  0 21  0  0	
19  0  50844 52035756 501964 10285796    0    0     0    36 17333  907 71  0 29  0  0	
19  0  50844 52035756 501964 10285796    0    0     0    32 19413  527 79  0 21  0  0	
19  0  50844 52035756 501964 10285796    0    0     0     0 19233  474 79  0 21  0  0	
19  0  50844 52035756 501964 10285796    0    0     0     0 17217  777 70  0 30  0  0	
19  0  50844 52035804 501964 10285796    0    0     0     0 19256  666 79  0 21  0  0	
19  0  50844 52035804 501964 10285796    0    0     0    68 19452  627 79  0 21  0  0	
19  0  50844 52035796 501964 10285796    0    0     0    32 17309  867 71  0 29  0  0	
19  0  50844 52035796 501964 10285796    0    0     0     0 19555  503 79  0 21  0  0	
20  0  50844 52035796 501964 10285796    0    0     0    56 19436  475 79  0 21  0  0	
19  0  50844 52035796 501964 10285796    0    0     0   840 17667 1203 71  0 29  0  0	
19  0  50844 52035796 501964 10285796    0    0     0    40 19352  751 79  0 21  0  0	
19  0  50844 52035796 501964 10285796    0    0     0    32 19450  520 79  0 21  0  0	
20  0  50844 52034308 501964 10285796    0    0     0     0 18049  728 71  0 29  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0  50844 52033192 501964 10285800    0    0     0     0 20010  488 79  0 21  0  0	
19  0  50844 52033596 501964 10285804    0    0     0    44 19464  486 79  0 21  0  0	
19  0  50844 52033596 501964 10285804    0    0     0    64 19462  659 79  0 21  0  0	
19  0  50844 52030372 501964 10285804    0    0     0    32 17993 1071 68  0 32  0  0	
19  0  50844 52030372 501964 10285804    0    0     0     0 19027  526 78  0 22  0  0	
19  0  50844 52030372 501964 10285804    0    0     0    16 19241  474 79  0 21  0  0	
19  0  50844 52013640 501964 10285804    0    0     0    12 24010  873 71  0 29  0  0	
19  0  50844 52013640 501964 10285804    0    0     0    16 19239  486 79  0 21  0  0	
19  0  50844 52013640 501964 10285804    0    0     0    64 19393  574 79  0 21  0  0	
19  0  50844 52013640 501964 10285804    0    0     0     0 17372  905 71  0 29  0  0	
19  0  50844 52013764 501964 10285804    0    0     0    16 19259  497 79  0 21  0  0	
19  0  50844 52017360 501964 10285804    0    0     0    16 20106  477 79  0 21  0  0	
19  0  50844 52017236 501964 10285804    0    0     0     0 17580  895 71  0 29  0  0	
19  0  50844 52016988 501964 10285804    0    0     0    76 19272  533 79  0 21  0  0	
19  0  50844 52017112 501964 10285804    0    0     0     4 19310  513 79  0 21  0  0	
19  0  50844 52017112 501964 10285804    0    0     0     0 17403  951 71  0 29  0  0	
19  0  50844 52016864 501964 10285804    0    0     0     0 19459  490 79  0 21  0  0	
19  0  50844 52016992 501964 10285804    0    0     0     4 19262  497 79  0 21  0  0	
19  0  50844 52017124 501964 10285804    0    0     0    64 19423  536 79  0 21  0  0	
19  0  50844 52017196 501964 10285804    0    0     0     0 16470  746 68  0 32  0  0	
19  0  50844 52017248 501964 10285804    0    0     0    32 18706  594 77  0 23  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0  50844 52017248 501964 10285804    0    0     0     0 19285  641 79  0 21  0  0	
19  0  50844 52017116 501964 10285804    0    0     0     0 17429  822 70  0 30  0  0	
19  0  50844 52017116 501964 10285804    0    0     0    64 19536  530 79  0 21  0  0	
19  0  50844 52017116 501964 10285808    0    0     0     0 19386  541 79  0 21  0  0	
 0  0  50844 52041432 501964 10285808    0    0     0     0 11352 5517 40  0 60  0  0	
20  0  50844 52035112 501964 10285804    0    0     0     0 19508 3730 72  0 27  0  0	
19  0  50844 52034896 501964 10285812    0    0     0     4 19557  772 79  0 21  0  0	
19  0  50844 52034896 501964 10285812    0    0     0    32 19518  512 79  0 21  0  0	
19  0  50844 52034508 501964 10285812    0    0     0    44 17665 2191 70  0 30  0  0	
19  0  50844 52035036 501964 10285812    0    0     0    64 19379  499 79  0 21  0  0	
19  0  50844 52035036 501964 10285812    0    0     0     0 19231  470 79  0 21  0  0	
19  0  50844 52035028 501964 10285812    0    0     0    32 17563 1309 71  0 29  0  0	
19  0  50844 52035152 501964 10285812    0    0     0    32 19289  674 79  0 21  0  0	
19  0  50844 52035088 501964 10285812    0    0     0    44 19500  550 79  0 21  0  0	
19  0  50844 52035360 501964 10285812    0    0     0    16 17319  860 71  0 29  0  0	
19  0  50844 52035400 501964 10285812    0    0     0    16 19277  523 79  0 21  0  0	
19  0  50844 52035400 501964 10285812    0    0     0     0 19370  484 79  0 21  0  0	
19  0  50844 52035532 501964 10285812    0    0     0    32 17391  787 71  0 29  0  0	
19  0  50844 52035532 501964 10285812    0    0     0    32 19492  748 79  0 21  0  0	
19  0  50844 52035532 501964 10285812    0    0     0    16 19606  510 79  0 21  0  0	
19  0  50844 52035656 501964 10285812    0    0     0    12 19500  480 79  0 21  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0  50844 52033340 501964 10285812    0    0     0    12 18938  943 71  0 29  0  0	
19  0  50844 52033332 501964 10285812    0    0     0    44 19260  512 79  0 21  0  0	
19  0  50844 52033348 501964 10285812    0    0     0    32 19565  558 79  0 21  0  0	
19  0  50844 52033348 501964 10285816    0    0     0     0 17339  928 71  0 29  0  0	
19  0  50844 52033356 501964 10285816    0    0     0     4 19541  496 79  0 21  0  0	
19  0  50844 52033356 501964 10285816    0    0     0     0 19274  473 79  0 21  0  0	
19  0  50844 52033232 501964 10285816    0    0     0    32 17448 1291 70  0 30  0  0	
19  0  50844 52033112 501964 10285816    0    0     0    28 19402  508 79  0 21  0  0	
19  0  50844 52033112 501964 10285816    0    0     0    16 19497  509 79  0 21  0  0	
19  0  50844 52030548 501964 10285816    0    0     0     0 18684  909 71  0 29  0  0	
19  0  50844 52030292 501964 10285816    0    0     0     4 19444  749 79  0 21  0  0	
19  0  50844 52030292 501964 10285816    0    0     0    32 19262  498 79  0 21  0  0	
19  0  50844 52030416 501964 10285816    0    0     0     0 17463  780 71  0 29  0  0	
19  0  50844 52032276 501964 10285816    0    0     0    72 19517  487 79  0 21  0  0	
19  0  50844 52032400 501964 10285816    0    0     0   840 19569 1001 79  0 21  0  0	
19  0  50844 52032400 501964 10285816    0    0     0     4 19309  678 79  0 21  0  0	
19  0  50844 52026696 501964 10285816    0    0     0    32 19755  890 72  0 28  0  0	
19  0  50844 52026448 501964 10285816    0    0     0     0 19381  503 79  0 21  0  0	
19  0  50844 52026944 501964 10285816    0    0     0    64 19409  517 79  0 21  0  0	
19  0  50844 52027068 501964 10285816    0    0     0    44 17530  839 71  0 29  0  0	
19  0  50844 52027068 501964 10285816    0    0     0     4 19459  625 79  0 21  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0  50844 52027068 501964 10285816    0    0     0    44 19315  657 79  0 21  0  0	
19  0  50844 52025952 501964 10285816    0    0     0     0 17115  800 70  0 30  0  0	
19  0  50844 52025952 501964 10285816    0    0     0    68 19253  489 79  0 21  0  0	
19  0  50844 52025964 501964 10285816    0    0     0    20 19453  504 79  0 21  0  0	
19  0  50844 52025840 501964 10285820    0    0     0    12 17315  748 71  0 29  0  0	
19  0  50844 52025840 501964 10285820    0    0     0    32 19538  531 79  0 21  0  0	
19  0  50844 52025840 501964 10285820    0    0     0     0 19519  633 79  0 21  0  0	
19  0  50844 52025964 501964 10285824    0    0     0    16 17384  822 71  0 29  0  0	
19  0  50844 52025964 501964 10285824    0    0     0    48 19413  497 79  0 21  0  0	
19  0  50844 52025956 501964 10285824    0    0     0     0 19531  636 79  0 21  0  0	
19  0  50844 52026080 501964 10285824    0    0     0    52 19309  513 79  0 21  0  0	
19  0  50844 52026084 501964 10285824    0    0     0     4 17443  750 71  0 29  0  0	
19  0  50844 52026084 501964 10285824    0    0     0     0 19278  641 79  0 21  0  0	
19  0  50844 52026208 501964 10285824    0    0     0    40 19401  520 79  0 21  0  0	
19  0  50844 52026208 501964 10285824    0    0     0     0 16690  799 69  0 31  0  0	
19  0  50844 52026216 501964 10285824    0    0     0    32 19383  532 79  0 21  0  0	
19  0  50844 52026340 501964 10285824    0    0     0    16 19242  483 79  0 21  0  0	
19  0  50844 52026364 501964 10285824    0    0     0     0 17476  675 71  0 29  0  0	
19  0  50844 52026364 501964 10285824    0    0     0    52 19612  733 79  0 21  0  0	
19  0  50844 52026368 501964 10285824    0    0     0     4 19513  629 79  0 21  0  0	
19  0  50844 52026360 501964 10285824    0    0     0    32 17109  708 70  0 30  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0  50844 52026364 501964 10285824    0    0     0     0 18786  532 77  0 23  0  0	
19  0  50844 52026364 501964 10285824    0    0     0    24 19389  498 79  0 21  0  0	
19  0  50844 52026372 501964 10285824    0    0     0    44 17426  879 71  0 29  0  0	
19  0  50844 52026372 501964 10285824    0    0     0     0 19379  484 79  0 21  0  0	
19  0  50844 52026372 501964 10285828    0    0     0    32 19367  531 79  0 21  0  0	
19  0  50844 52026372 501964 10285828    0    0     0     0 19243  496 79  0 21  0  0	
19  0  50844 52035588 501964 10285832    0    0     0     0 10234 8920 29  1 70  0  0	
19  0  50844 52033400 501964 10285832    0    0     0    40 19379  764 79  0 21  0  0	
19  0  50844 52033400 501964 10285832    0    0     0    48 19462  826 79  0 21  0  0	
19  0  50844 52034136 501964 10285832    0    0     0    32 17301 2026 70  0 30  0  0	
19  0  50844 52034048 501964 10285832    0    0     0     0 19315  613 79  0 21  0  0	
19  0  50844 52034128 501964 10285832    0    0     0    76 19333  474 79  0 21  0  0	
 0  0  50844 52034376 501964 10285832    0    0     0     0 19202  602 79  0 21  0  0	
19  0  50844 52034008 501964 10285832    0    0     0    56 17203 1060 70  0 30  0  0	
19  0  50844 52034040 501964 10285832    0    0     0    32 19374  592 79  0 21  0  0	
19  0  50844 52034164 501964 10285832    0    0     0     0 19263  616 79  0 21  0  0	
19  0  50844 52031560 501964 10285832    0    0     0    32 17359  824 71  0 29  0  0	
19  0  50844 52033564 501964 10285832    0    0     0     0 19234  479 79  0 21  0  0	
19  0  50844 52033564 501964 10285832    0    0     0    76 19434  673 79  0 21  0  0	
19  0  50844 52033432 501964 10285832    0    0     0    32 17343  810 71  0 29  0  0	
19  0  50844 52033680 501964 10285832    0    0     0     0 19255  659 79  0 21  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0  50844 52033680 501964 10285832    0    0     0     0 19282  666 79  0 21  0  0	
19  0  50844 52031084 501964 10285832    0    0     0    12 19027  734 71  0 29  0  0	
19  0  50844 52031084 501964 10285832    0    0     0    36 19271  488 79  0 21  0  0	
19  0  50844 52031332 501964 10285832    0    0     0    32 19269  534 79  0 21  0  0	
19  0  50844 52031332 501964 10285832    0    0     0     0 17306  743 71  0 29  0  0	
19  0  50844 52031456 501964 10285836    0    0     0     0 19266  492 79  0 21  0  0	
19  0  50844 52031456 501964 10285836    0    0     0    12 19299  626 79  0 21  0  0	
19  0  50844 52031472 501964 10285836    0    0     0     8 19396  640 79  0 21  0  0	
19  0  50844 52031224 501964 10285840    0    0     0    80 17328 1214 71  0 29  0  0	
19  0  50844 52031224 501964 10285840    0    0     0     0 19275  490 79  0 21  0  0	
19  0  50844 52032712 501964 10285840    0    0     0     0 19271  466 79  0 21  0  0	
19  0  50844 52032712 501964 10285840    0    0     0   844 17583 1203 71  0 29  0  0	
19  0  50844 52032604 501964 10285840    0    0     0     0 19223  783 79  0 21  0  0	
19  0  50844 52032604 501964 10285840    0    0     0    64 19295  542 79  0 21  0  0	
19  0  50844 52032604 501964 10285840    0    0     0     0 17399  721 71  0 29  0  0	
19  0  50844 52032728 501964 10285840    0    0     0    32 19546  478 79  0 21  0  0	
19  0  50844 52033100 501964 10285840    0    0     0     0 19394  468 79  0 21  0  0	
19  0  50844 52032588 501964 10285840    0    0     0     8 17545  867 71  0 29  0  0	
19  0  50844 52032604 501964 10285840    0    0     0    72 19244  769 79  0 21  0  0	
19  0  50844 52032728 501964 10285840    0    0     0     0 19390  484 79  0 21  0  0	
19  0  50844 52032736 501964 10285840    0    0     0    56 17335  726 71  0 29  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0  50844 52032736 501964 10285840    0    0     0     0 19213  618 79  0 21  0  0	
19  0  50844 52032736 501964 10285840    0    0     0     8 19291  478 79  0 21  0  0	
19  0  50844 52032744 501964 10285840    0    0     0    80 19489  633 79  0 21  0  0	
19  0  50844 52030388 501964 10285840    0    0     0     0 18596  926 71  0 29  0  0	
19  0  50844 52030264 501964 10285840    0    0     0    68 19441  510 79  0 21  0  0	
19  0  50844 52030264 501964 10285844    0    0     0     0 19244  471 79  0 21  0  0	
19  0  50844 52029272 501964 10285844    0    0     0     0 17575  907 70  0 30  0  0	
19  0  50844 52029140 501964 10285844    0    0     0    32 19269  506 79  0 21  0  0	
19  0  50844 52029388 501964 10285844    0    0     0    40 19413  544 79  0 21  0  0	
19  0  50844 52029760 501964 10285844    0    0     0     0 16927 1128 69  0 31  0  0	
19  0  50844 52029636 501964 10285844    0    0     0     0 18978  533 77  0 23  0  0	
19  0  50844 52029760 501964 10285844    0    0     0    36 19586  482 79  0 21  0  0	
20  0  50844 52013028 501964 10285844    0    0     0    32 24447  740 72  0 28  0  0	
